methodID,clusterID
10,1
448,1
100,2
1417,2
10068,3
12855,3
10244,4
8368,4
11148,4
13313,5
13311,5
10514,5
10520,5
11272,6
11273,6
8492,6
8493,6
1147,7
8690,8
11470,8
1231,9
1217,9
1239,10
1250,11
1281,12
12856,13
13643,14
13713,15
13912,16
34411,16
14897,17
13939,17
23622,18
23274,18
14310,18
15267,18
15155,19
14564,19
14612,19
14625,19
14813,20
14862,20
14891,21
14939,21
15151,22
4427,22
4431,22
1597,23
1600,23
16061,24
16062,24
435,25
1625,25
17168,26
17173,27
1721,28
17373,29
17318,29
17374,29
17377,29
17414,30
176,31
17809,32
17908,32
18169,33
18455,34
6315,34
188,35
277,35
1946,36
6165,36
6174,36
34032,37
31754,37
1966,37
29947,37
2032,38
1994,38
2033,39
1995,39
2017,40
2018,40
2052,41
2036,41
3487,42
20580,42
3508,43
3506,43
20599,43
20601,43
3518,44
20611,44
20612,45
3519,45
3520,46
20613,46
20916,47
20979,47
21258,48
21386,49
21629,50
21700,51
21705,52
22204,53
22396,54
22389,54
5478,55
2242,55
226,56
250,56
22643,57
251,58
227,58
2484,59
2728,59
24904,60
3303,60
25054,61
2537,62
2538,62
25475,63
25483,63
2552,64
2623,65
5684,65
26542,66
26559,67
26658,68
26667,69
6883,69
27297,70
27345,70
27451,70
27492,71
2767,72
2768,72
2795,73
2791,73
6005,74
2875,74
2807,74
2864,74
5939,75
2809,75
6009,76
2830,76
2810,76
2819,76
5952,77
2822,77
5956,78
2826,78
28556,79
28667,80
6012,81
2882,81
6013,82
2883,82
6015,83
2885,83
29022,84
29688,85
4864,86
751,86
29882,86
9595,86
29897,87
29900,88
29901,89
6164,90
5167,90
3034,90
5869,90
30366,91
30365,91
3355,92
30404,92
31402,93
31403,94
31741,95
31765,96
34220,96
32178,97
32206,98
32223,99
32323,100
32371,101
32382,102
32439,103
3256,104
3252,104
33581,105
33918,106
33915,106
33917,106
33919,106
34226,107
34259,108
34260,108
344,109
3559,110
3561,110
3558,110
3568,111
3573,112
3688,113
3687,113
36932,114
37191,114
375,115
3930,116
4003,116
3931,117
4004,117
4173,118
4140,118
4175,119
4142,119
4144,120
4177,120
4147,121
4180,121
4195,122
4162,122
4213,123
4382,124
4383,124
4412,125
4433,126
4544,127
4730,127
4565,128
4566,129
4823,129
4821,130
4873,131
4887,131
5313,132
5359,132
5388,133
5386,133
6626,134
6631,134
5632,134
5637,134
6628,135
5634,135
5647,136
6641,136
6660,137
5666,137
6688,138
5695,138
5697,139
6690,139
5716,140
6709,140
6718,141
5725,141
5789,142
6777,142
5790,143
6778,143
6780,144
5792,144
5797,145
6785,145
5798,146
6786,146
6790,147
5802,147
5806,148
6794,148
6795,149
5807,149
5816,150
6804,150
6805,151
5817,151
6806,152
5818,152
6808,153
5820,153
6811,154
5823,154
5825,155
6813,155
5841,156
6829,156
6832,157
5844,157
6833,158
5845,158
6838,159
5850,159
5907,160
63,161
6570,162
6575,162
6572,162
6932,163
7279,164
7105,164
7783,164
868,165
